name,y_pred,y_obs,y
michael_fischer,3.409405873528914e-07,,0
christopher_medina,3.361958527414412e-07,,0
rachel_davis_dvm,3.29589664289734e-07,,0
troy_hughes,3.28720240264026e-07,,0
pamela_price,3.2519610431579837e-07,,0
margaret_keith,3.2268642473884094e-07,,0
robert_tran,3.151895187365718e-07,,0
michael_joseph,2.981109276912271e-07,,0
jennifer_marshall,2.730202300678687e-07,,0
anthony_crane,2.362642091395236e-07,,0
lisa_hoffman,2.3413806621969237e-07,,0
danielle_williams_dds,2.2609360823776532e-07,,0
martin_payne,2.2315289569206046e-07,,0
felicia_davidson,2.1921001898630372e-07,,0
teresa_bird,2.072050758610444e-07,,0
victoria_white,1.8749996487026913e-07,,0
michelle_stephens,1.7158005970552332e-07,,0
molly_davis,1.7062613928653e-07,,0
tiffany_perry,1.6663936928301113e-07,,0
benjamin_jones,1.6657795884356732e-07,,0
jacob_torres,1.6074935598604847e-07,,0
faith_bennett,1.5059633334269965e-07,,0
david_reeves,1.2752088997680955e-07,,0
daniel_cox_dds,1.2494150261548974e-07,,0
samantha_wang,1.1998300702819081e-07,,0
kevin_peterson,1.159339498818457e-07,,0
michael_liu,1.083487745673033e-07,,0
allen_bailey,1.0626916517457726e-07,,0
megan_rodriguez_dds,1.0460851641984833e-07,,0
debra_nolan_dds,1.0172172858951829e-07,,0
jessica_williams,8.655852911556164e-08,,0
richard_campbell,8.137908079597263e-08,,0
deborah_taylor,6.500008309348137e-08,,0
nicholas_bates,6.3920359043609e-08,,0
connie_decker,6.039706778449014e-08,,0
sean_park_dds,5.896414766734923e-08,,0
lisa_reese,5.853521137866386e-08,,0
raymond_stevenson,5.812869835936345e-08,,0
frederick_hoffman,5.694742924006367e-08,,0
brenda_benton,5.618318707954804e-08,,1
ashley_arnold_md,5.480095708369744e-08,,0
gregory_meza,5.086259501700793e-08,,0
jessica_jacobson,5.0589765925020825e-08,,0
william_meyers,5.017908863812432e-08,,0
dr._michael_garza_jr.,4.4661289098791645e-08,,0
stephanie_ewing,4.3706291182234815e-08,,0
sydney_wagner,4.3207123562503305e-08,,0
shari_butler,4.236018735557996e-08,,0
ryan_casey,3.8160062077537104e-08,,0
charles_valencia,3.685805885625194e-08,,0
john_rowe,3.6793562225515664e-08,,0
oscar_monroe,3.6489869089054284e-08,,1
rachel_golden,3.353272068654389e-08,,0
michelle_maldonado,3.1249999023450215e-08,,0
melissa_barnes,2.8099777059319794e-08,,0
matthew_lang,2.7346538946045095e-08,,0
michael_khan_dds,2.6902446816641152e-08,,0
matthew_rojas,2.5682123704451025e-08,,0
stephen_burnett,2.4588138461222148e-08,,0
regina_gray,2.4157603829477342e-08,,0
barbara_sullivan,2.230423965945228e-08,,0
robin_coleman,2.1462133023563064e-08,,1
bradley_rush,2.051530014452174e-08,,0
